Well_API,Well_ID,Well_Status,H1000,H5280,Well_PTax,Sum_Home_PTax,Avg_Ptax_Home,H1000_NoWell,H1000_Effect,Logical,H5280_NoWell,H5280_Effect,Ptax_Effect,Net_Difference,PA_Candidate
05-013-06346,06346,SI,0,35,4094.98488,101369.25,2896.264286,0,0,0,2997.633536,104.9171738,104.9171738,3990.067706,0
05-013-06348,06348,SI,0,477,525.843696,894369.62,1874.988721,0,0,0,2769.358341,1320.983929,1320.983929,-795.1402327,1
05-013-06351,06351,SI,0,12,525.843696,36446.17,3037.180833,0,0,0,3073.627003,36.88352404,36.88352404,488.960172,0
05-013-06352,06352,SI,0,18,613.845958,140752.69,7819.593889,0,0,0,7960.346579,143.2862384,143.2862384,470.5597196,0
05-013-06353,06353,SI,0,22,611.820398,169775.14,7717.051818,0,0,0,7886.826958,173.5101931,173.5101931,438.3102049,0
05-013-06354,06354,SI,4,704,373.690851,4273560.45,6070.398366,6118.961553,48.95169243,1,10337.88842,7267.535558,7316.48725,-6942.796399,1
05-013-06355,06355,SI,0,553,1870.969162,3057318.94,5528.605678,0,0,0,8585.924618,4748.016314,4748.016314,-2877.047152,1
05-013-06358,06358,SI,2,41,351.177054,352423.24,8595.68878,8664.454291,69.31563433,1,8939.516332,357.5806533,426.8962876,-75.71923359,1
05-013-06361,06361,PA,1,64,11.991798,624553.39,9758.646719,9836.715893,78.69372714,1,10373.44146,653.5268121,732.2205392,-720.2287412,1
05-013-06368,06368,SI,0,62,363.712558,361594.42,5832.168065,0,0,0,6193.762485,384.013274,384.013274,-20.30071604,1
05-013-06371,06371,PR,0,13,553.585548,116187.31,8937.485385,0,0,0,9053.672695,117.697745,117.697745,435.887803,0
05-013-06372,06372,SI,0,101,553.585548,1097402.99,10865.37614,0,0,0,11962.77913,1208.240692,1208.240692,-654.655144,1
05-013-06373,06373,PR,0,28,512.474202,300195.04,10721.25143,0,0,0,11021.44647,308.6005011,308.6005011,203.8737009,0
05-013-06374,06374,SI,0,483,326.808048,907807.31,1879.51824,0,0,0,2787.32555,1346.278241,1346.278241,-1019.470193,1
05-013-06383,06383,SI,0,88,425.084346,1135686.02,12905.52295,0,0,0,14041.20897,1235.62639,1235.62639,-810.5420438,1
05-013-06384,06384,SI,0,51,416.702106,711827.92,13957.4102,0,0,0,14669.23812,748.1311439,748.1311439,-331.4290379,1
05-013-06385,06385,SI,0,58,2245.497318,321887.81,5549.789828,0,0,0,5871.677638,340.557303,340.557303,1904.940015,0
05-013-06395,06395,SI,0,444,481.950144,1257584.48,2832.397477,0,0,0,4089.981957,1815.951989,1815.951989,-1334.001845,1
05-013-06396,06396,SI,0,79,388.405138,385991.6,4885.96962,0,0,0,5271.96122,416.4849364,416.4849364,-28.0797984,1
05-013-06397,06397,SI,0,325,2530.166364,1087761.26,3346.957723,0,0,0,4434.718983,1441.28367,1441.28367,1088.882695,0
05-013-06398,06398,SI,0,52,2945.73334,305530.12,5875.579231,0,0,0,6181.109351,321.4176862,321.4176862,2624.315654,0
05-013-06409,06409,SI,0,595,315.042032,3495984.26,5875.603798,0,0,0,9371.588058,5576.094895,5576.094895,-5261.052863,1
05-013-06414,06414,PA,1,275,613.137012,2075999.62,7549.089527,7609.482243,60.87585795,1,9617.540058,2635.205976,2696.081834,-2082.944822,1
05-013-06415,06415,SI,2,143,611.820398,1161881.01,8125.042028,8190.042364,65.52033891,1,9278.797996,1317.589315,1383.109654,-771.2892563,1
05-013-06416,06416,SI,3,30,2640.67131,276146.02,9204.867333,9278.506272,74.22805018,1,9471.808486,274.6824461,348.9104963,2291.760814,0
05-013-06418,06418,PA,2,33,552.268934,236051.66,7153.080606,7210.305251,57.68244201,1,7381.979185,236.2233339,293.9057759,258.3631581,0
05-013-06421,06421,SI,9,1804,370.92237,9758385.83,5409.304784,5452.579222,43.62063378,1,15162.28131,27337.5932,27381.21383,-27010.29146,1
05-013-06422,06422,SI,0,1399,374.442555,7910379.23,5654.309671,0,0,0,13564.6889,18976.99977,18976.99977,-18602.55722,1
05-013-06423,06423,PR,0,36,615.972796,255718.65,7103.295833,0,0,0,7359.014483,264.9245214,264.9245214,351.0482746,0
05-013-06424,06424,PR,0,76,612.124232,664302.7,8740.825,0,0,0,9405.1277,714.7897052,714.7897052,-102.6654732,1
05-013-06426,06426,PA,1,9,0.405112,55176.57,6130.73,6179.77584,49.43820672,1,6179.77584,49.43820672,98.87641344,-98.47130144,1
05-013-06431,06431,PA,0,5,2438.976796,28292.42,5658.484,0,0,0,5686.77642,28.4338821,28.4338821,2410.542914,0
05-013-06433,06433,PA,0,14,405.61839,116799.29,8342.806429,0,0,0,8459.605719,118.4344801,118.4344801,287.1839099,0
05-013-06437,06437,SI,1,5,611.820398,17193.26,3438.652,3466.161216,27.72928973,1,3452.406608,13.80962643,41.53891616,570.2814818,0
05-013-06441,06441,SI,1,7,611.820398,28170.73,4024.39,4056.58512,32.45268096,1,4048.53634,24.29121804,56.743899,555.076499,0
05-013-06442,06442,SI,3,1318,2978.255631,7729977.42,5864.929757,5911.849195,47.29479356,1,13589.04225,17896.76864,17944.06343,-14965.8078,1
05-013-06443,06443,SI,5,49,583.02976,156763.31,3199.251224,3224.845234,25.79876187,1,3352.815283,160.9351336,186.7338955,396.2958645,0
05-013-06447,06447,SI,0,11,2379.52661,57228.16,5202.56,0,0,0,5259.78816,57.85766976,57.85766976,2321.66894,0
05-013-06448,06448,PA,20,1192,2759.172496,2446753.67,2052.645696,2069.066862,16.5525349,1,4497.346721,5356.339944,5372.892479,-2613.719983,1
05-013-06449,06449,PR,0,9,7079.83859,70716.84,7857.426667,0,0,0,7928.143507,71.35329156,71.35329156,7008.485298,0
05-013-06454,06454,PR,18,1974,3399.675303,9023617.76,4571.234934,4607.804814,36.86243851,1,13590.28146,26813.62532,26850.48776,-23450.81245,1
05-013-06457,06457,PA,19,1350,1713.992002,7798575.94,5776.722919,5822.936702,46.58349361,1,13569.52214,18305.28536,18351.86885,-16637.87685,1
05-013-06458,06458,PA,9,1791,675.20224,10303771.33,5753.08282,5799.107482,46.39285986,1,16051.10107,28731.47091,28777.86377,-28102.66153,1
05-013-06460,06460,PA,59,2739,379.676398,10881804.39,3972.911424,4004.694715,32.03755772,1,14850.7429,40661.33407,40693.37162,-40313.69523,1
05-013-06463,06463,PA,2,657,2992.224672,3088713.52,4701.238234,4738.84814,37.91078512,1,7785.250516,5107.124339,5145.035124,-2152.810452,1
05-013-06464,06464,SI,0,133,525.843696,187428.07,1409.233609,0,0,0,1596.661679,212.3560033,212.3560033,313.4876927,0
05-013-06466,06466,PA,78,3435,348.247678,12870666.7,3746.918981,3776.894333,30.21515466,1,16613.83876,57051.92231,57082.13746,-56733.88979,1
05-013-06473,06473,PA,4,35,2225.98347,228383.18,6525.233714,6577.435584,52.61948467,1,6747.091661,229.4011165,282.0206011,1943.962869,0
05-013-06483,06483,PA,5,128,1499.456262,881670.48,6888.050625,6943.15503,55.54524024,1,7762.833054,985.8797979,1041.425038,458.0312239,0
05-013-06500,06500,SI,0,147,2353.903276,816340.08,5553.333878,0,0,0,6369.673958,936.3420718,936.3420718,1417.561204,0
05-013-06501,06501,SI,1,57,2321.494316,319665.2,5608.161404,5653.026695,45.22421356,1,5922.218442,331.6442328,376.8684463,1944.62587,0
05-013-06503,06503,SI,1,48,2312.581852,267657.36,5576.195,5620.80456,44.96643648,1,5838.276165,274.3989798,319.3654162,1993.216436,0
05-013-06504,06504,SI,0,8,2224.875104,33354.46,4169.3075,0,0,0,4202.66196,33.62129568,33.62129568,2191.253808,0
05-013-06505,06505,SI,0,29,6244.902758,176278.94,6078.584138,0,0,0,6254.863078,181.3910293,181.3910293,6063.511729,0
05-013-06506,06506,PR,17,729,15413.76259,3539067.96,4854.68856,4893.526068,39.14820855,1,8388.901831,6107.120533,6146.268742,9267.493848,0
05-013-06507,06507,PR,0,19,4505.250552,145201.25,7642.171053,0,0,0,7787.372303,147.9600738,147.9600738,4357.290478,0
