API_Label,Well_ID,Spud_Date,Ground_Ele,Well_Stat,Stat_Date,Section,Township,Range,lat1,long1,Oil_Production,Oil_Sales,Gas_Production,Gas_Sales,Water_Produced,Location,acct,stripper_flg,tot_mill,asd_val,Tax_Est
05-013-06500,6500,9/3/2003,4971,SI,9/1/2021,1,1N,69W,40.078275,-105.058556,,,,,,NESE 1 1N69W,P0305643    ,N,101.278,23242,2353.903276
05-013-06501,6501,1/27/2004,5046,SI,4/1/2022,25,2N,69W,40.109131,-105.071151,25,40,760,760,2,NWSW 25 2N69W,P0307849    ,N,101.278,22922,2321.494316
05-013-06503,6503,11/23/2007,5025,SI,8/1/2022,36,2N,69W,40.101242,-105.071941,64,66,1111,1111,12,NWNW 36 2N69W,P0313236    ,N,101.278,22834,2312.581852
05-013-06504,6504,1/30/2004,5023,SI,3/1/2022,24,2N,69W,40.129825,-105.06236,7,7,78,78,,NWNE 24 2N69W,P0307850    ,N,101.278,21968,2224.875104
05-013-06505,6505,9/7/2004,5043,SI,8/1/2022,36,2N,69W,40.097361,-105.072655,87,90,1474,1474,17,SWNW 36 2N69W,P0307851    ,N,101.278,61661,6244.902758
05-013-06506,6506,10/29/2010,4991,PR,2/10/2011,12,1N,69W,40.068265,-105.062589,887,967,5040,5040,198,SWNE 12 1N69W,P0400651    ,N,118.368,130219,15413.76259
05-013-06507,6507,2/21/2005,4963,PR,7/1/2017,1,1N,69W,40.082086,-105.063331,415,415,7021,7021,109,SWNE 1 1N69W,P0309814    ,N,101.278,44484,4505.250552
05-013-06508,6508,3/2/2005,5019,SI,8/1/2022,25,2N,69W,40.111335,-105.062424,137,165,3864,3864,39,SWNE 25 2N69W,P0309815    ,N,101.278,42076,4261.373128
05-013-06509,6509,5/19/2005,5057,SI,6/1/2022,2,1N,69W,40.082262,-105.082218,113,110,1837,1837,28,SWNE 2 1N69W,P0309817    ,N,101.278,42880,4342.80064
05-013-06510,6510,6/16/2005,4995,SI,6/1/2022,11,1N,69W,40.071675,-105.085512,184,212,3203,3203,59,NENW 11 1N69W,P0309816    ,N,93.963,50668,4760.917284
05-013-06511,6511,6/14/2006,5083,SI,8/1/2022,26,2N,69W,40.108982,-105.081179,484,538,5028,5028,60,NWSE 26 2N69W,P0311885    ,N,101.278,88141,8926.744198
05-013-06512,6512,12/18/2006,5029,SI,7/1/2022,25,2N,69W,40.10469,-105.07124,36,57,526,526,5,SWSW 25 2N69W,P0313309    ,N,101.278,22750,2304.0745
05-013-06513,6513,10/27/2005,5194,SI,6/1/2022,33,2N,69W,40.088915,-105.124766,,,40,9,,SESW 33 2N69W,P0311917    ,N,101.278,27554,2790.614012
05-013-06516,6516,9/11/2006,5019,SI,11/1/2021,25,2N,69W,40.111345,-105.062335,,,,,,SWNE 25 2N69W,P0311882    ,N,101.278,21988,2226.900664
05-013-06517,6517,8/2/2006,5027,PA,4/6/2022,25,2N,69W,40.116158,-105.072366,,,,,,NWNW 25 2N69W,P0313316    ,N,101.278,22286,2257.081508
05-013-06518,6518,3/6/2007,5032,PR,9/1/2018,27,2N,69W,40.11287,-105.098029,750,642,10780,10780,132,SENE 27 2N69W,P0313299    ,N,101.278,67254,6811.350612
05-013-06519,6519,1/30/2007,5060,SI,8/1/2022,26,2N,69W,40.11585,-105.08069,31,39,1708,1708,12,NWNE 26 2N69W,P0313304    ,N,101.278,23336,2363.423408
05-013-06520,6520,2/15/2007,5050,PR,1/1/2021,26,2N,69W,40.107861,-105.09159,,,851,851,,NWSW 26 2N69W,P0313255    ,N,101.278,22542,2283.008676
05-013-06521,6521,7/16/2006,5021,SI,6/1/2022,27,2N,69W,40.108161,-105.101121,210,206,2466,2466,26,NWSE 27 2N69W,P0311886    ,N,101.278,65221,6605.452438
05-013-06522,6522,2/14/2007,5032,SI,8/1/2022,24,2N,69W,40.12284,-105.063112,82,85,2646,2646,17,NWSE 24 2N69W,P0313300    ,N,101.278,27771,2812.591338
05-013-06524,6524,1/3/2007,4980,SI,7/1/2021,12,1N,69W,40.071176,-105.072837,,,,,,NWNW 12 1N69W,P0313235    ,N,101.278,21945,2222.54571
05-013-06525,6525,8/17/2006,5017,SI,8/1/2022,25,2N,69W,40.107933,-105.062263,73,125,1843,1843,22,NWSE 25 2N69W,P0311887    ,N,101.278,23583,2388.439074
05-013-06526,6526,8/26/2006,5054,SI,10/1/2021,35,2N,69W,40.101225,-105.078997,,,,,,NENE 35 2N69W,P0311881    ,N,101.278,22134,2241.687252
05-013-06531,6531,8/9/2006,5013,SI,8/1/2022,25,2N,69W,40.107605,-105.057792,71,121,1885,1885,22,NESE 25 2N69W,P0311888    ,N,101.278,21057,2132.610846
05-013-06533,6533,3/28/2009,4989,PR,5/1/2020,12,1N,69W,40.067776,-105.057941,1025,1059,10694,10694,236,SENE 12 1N69W,P0319251    ,N,118.368,122802,14535.82714
05-013-06534,6534,3/23/2009,4989,PR,5/1/2020,12,1N,69W,40.067818,-105.058029,1430,1412,12179,12179,338,SENE 12 1N69W,P0319250    ,N,118.368,120960,14317.79328
05-013-06536,6536,3/31/2008,5009,PR,5/1/2021,12,1N,69W,40.060064,-105.066656,244,259,5171,5171,100,SESW 12 1N69W,P0317264    ,N,118.368,41681,4933.696608
05-013-06537,6537,3/4/2007,4965,PR,7/1/2017,1,1N,69W,40.08217,-105.06331,757,791,8230,8230,164,SWNE 1 1N69W,P0313306    ,N,101.278,105993,10734.75905
05-013-06538,6538,5/5/2008,5244,PR,11/1/2022,5,1N,69W,40.076399,-105.136005,,,12,8,,NESE 5 1N69W,P0317453    ,N,97.463,34097,3323.195911
05-013-06539,6539,9/21/2007,5071,PR,5/1/2020,13,1N,69W,40.050007,-105.071759,530,485,7751,7751,162,NWSW 13 1N69W,P0313307    ,N,101.278,68179,6905.032762
05-013-06540,6540,7/6/2007,5021,PA,3/11/2021,25,2N,69W,40.10484,-105.06312,,,,,,SWSE 25 2N69W,P0313303    ,N,101.278,21,2.126838
05-013-06541,6541,5/15/2007,5000,SI,6/1/2022,11,1N,69W,40.06966,-105.08669,141,162,2427,2427,44,NENW 11 1N69W,P0313294    ,N,93.963,30061,2824.621743
05-013-06543,6543,11/17/2007,5027,SI,4/1/2022,25,2N,69W,40.108283,-105.067116,154,238,2625,2625,20,NESW 25 2N69W,P0313310    ,N,101.278,53569,5425.361182
05-013-06544,6544,2/10/2008,5036,SI,7/1/2021,27,2N,69W,40.111265,-105.095693,,,,,,SENE 27 2N69W,P0317280    ,N,101.278,21974,2225.482772
05-013-06545,6545,2/19/2008,5045,SI,6/1/2022,27,2N,69W,40.104226,-105.100467,210,206,2489,2489,26,SWSE 27 2N69W,P0317261    ,N,101.278,63189,6399.655542
05-013-06546,6546,1/28/2008,5014,PA,4/6/2022,25,2N,69W,40.115686,-105.06778,,,,,,NENW 25 2N69W,P0317278    ,N,101.278,22234,2251.815052
05-013-06547,6547,11/5/2010,4968,SI,9/1/2021,1,1N,69W,40.07847,-105.062628,,,,,,NWSE 1 1N69W,P0400652    ,N,101.278,18872,1911.318416
05-013-06548,6548,1/14/2008,5022,SI,8/1/2022,24,2N,69W,40.119327,-105.062407,211,216,3216,3216,44,SWSE 24 2N69W,P0317270    ,N,101.278,49688,5032.301264
05-013-06549,6549,1/21/2008,5003,SI,8/1/2022,24,2N,69W,40.122108,-105.057751,209,214,3269,3269,46,NESE 24 2N69W,P0317281    ,N,101.278,46561,4715.604958
05-013-06550,6550,9/10/2007,4977,SI,6/1/2022,12,1N,69W,40.070765,-105.06738,106,136,2141,2141,40,NENW 12 1N69W,P0317258    ,N,101.278,30835,3122.90713
05-013-06551,6551,8/22/2007,4980,SI,9/1/2021,1,1N,69W,40.07544,-105.059367,,,,,,SESE 1 1N69W,P0313254    ,N,101.278,21947,2222.748266
05-013-06552,6552,8/13/2007,5064,SI,8/1/2022,26,2N,69W,40.11586,-105.080879,128,148,3869,3869,49,NWNE 26 2N69W,P0313305    ,N,101.278,25635,2596.26153
05-013-06553,6553,2/4/2008,5016,PR,11/1/2022,27,2N,69W,40.114543,-105.100403,322,344,6253,6253,54,NWNE 27 2N69W,P0317260    ,N,101.278,87589,8870.838742
05-013-06554,6554,2/26/2008,5045,SI,6/1/2022,2,1N,69W,40.084573,-105.079482,141,137,3548,3548,31,NWNE 2 1N69W,P0317282    ,N,101.278,61899,6269.006922
05-013-06555,6555,4/15/2008,5010,PR,5/1/2021,12,1N,69W,40.060071,-105.066547,359,354,8120,8120,183,SESW 12 1N69W,P0317266    ,N,118.368,66770,7903.43136
05-013-06556,6556,4/9/2008,5009,PR,5/1/2021,12,1N,69W,40.060068,-105.066601,253,265,5300,5300,100,SESW 12 1N69W,P0317265    ,N,118.368,45673,5406.221664
05-013-06557,6557,11/17/2008,4991,SI,6/1/2022,11,1N,69W,40.06786,-105.081106,171,218,3503,3503,60,SWNE 11 1N69W,P0317267    ,N,93.963,48828,4588.025364
05-013-06558,6558,8/30/2009,5130,SI,6/1/2022,23,1N,69W,40.030913,-105.090566,57,,752,746,,SWSW 23 1N69W,P0400750    ,N,168.048,34153,5739.343344
05-013-06559,6559,9/9/2009,5104,SI,10/1/2021,23,1N,69W,40.034931,-105.09225,,,,,,NWSW 23 1N69W,P0400756    ,N,168.048,4135,694.87848
05-013-06560,6560,9/21/2009,5104,PA,6/30/2021,23,1N,69W,40.034999,-105.092246,,,,,,,P0400761    ,N,168.048,30700,5159.0736
