mill_cd,codes,type,code_type,dscr,tax_dist,name,curr,tot_mill,percent_rounded,,,mill_cd
700,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,123.29,16.02,,,
701,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,122.29,16.16,,,
702,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,123.29,16.02,,,
703,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,123.29,16.02,,,
704,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,122.29,16.16,,,
810,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,92.053,21.46,,,
820,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,84.537,23.37,,,
821,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,100.654,19.63,,,
822,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,98.752,20.01,,,
824,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,98.499,20.06,,,
825,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,104.358,18.93,,,
826,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,104.154,18.97,,,
827,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,88.537,22.31,,,
862,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,125.568,15.73,,,
872,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,105.154,18.79,,,
874,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,105.358,18.75,,,
876,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,104.784,18.85,,,
878,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,105.154,18.79,,,
952,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,98.752,20.01,,,
1015,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,110.755,17.84,,,
1016,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,103.957,19,,,
1017,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,110.755,17.84,,,
1018,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,103.957,19,,,
1350,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,64.464,30.65,,,
1351,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,56.948,34.69,,,
1352,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,68.453,28.86,,,
1353,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,65.726,30.06,,,
1354,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,69.072,28.6,,,
1355,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,63.213,31.25,,,
1356,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,61.807,31.97,,,
1357,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,69.323,28.5,,,
1365,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,70.729,27.93,,,
1366,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,70.91,27.86,,,
1370,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,91.356,21.63,,,
1371,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,92.762,21.3,,,
1383,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,109.216,18.09,,,
1384,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,110.378,17.9,,,
1385,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,127.306,15.52,,,
1389,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,115.187,17.15,,,
1392,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,118.368,16.69,,,
1393,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,160.368,12.32,,,
1394,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,162.368,12.17,,,
1395,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,118.368,16.69,,,
1396,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,118.368,16.69,,,
1399,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,161.838,12.21,,,
1400,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,111.053,17.79,,,
1402,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,111.053,17.79,,,
